nodes/name,nodes/value,nodes/colour,links/source,links/target,links/value
NUTE GUNRAY,29,#808080,0,1,3
QUI-GON,87,#4f4fb1,3,2,1
TC-14,5,#808080,4,1,49
PK-4,3,#808080,4,5,40
OBI-WAN,288,#48D1CC,4,2,1
YODA,69,#9ACD32,1,5,8
DOFINE,3,#808080,1,2,1
RUNE,20,#808080,2,5,1
TEY HOW,4,#808080,0,2,2
VALORUM,6,#808080,6,0,1
RABE,15,#808080,6,2,1
EMPEROR,116,#191970,0,7,19
CAPTAIN PANAKA,34,#808080,0,4,4
SIO BIBBLE,13,#808080,4,7,3
JAR JAR,72,#9a9a00,1,7,2
TARPALS,3,#808080,0,8,2
BOSS NASS,6,#808080,7,8,2
PADME,141,#DDA0DD,4,9,2
RIC OLIE,14,#808080,1,9,2
R2-D2,224,#bde0f6,0,10,2
ANAKIN,232,#ce3b59,10,7,2
WATTO,17,#808080,10,8,1
SEBULBA,11,#808080,12,11,10
JIRA,3,#808080,11,13,4
C-3PO,197,#FFD700,12,13,6
SHMI,19,#808080,14,4,30
DARTH MAUL,18,#808080,14,1,43
KITSTER,11,#808080,14,15,2
WALD,3,#808080,16,4,5
GREEDO,5,#808080,16,1,4
FODE/BEED,11,#808080,16,14,5
JABBA,30,#808080,11,0,8
MACE WINDU,27,#808080,11,7,7
KI-ADI-MUNDI,15,#808080,12,0,3
BAIL ORGANA,33,#808080,0,13,3
GENERAL CEEL,5,#808080,0,17,6
BRAVO TWO,5,#808080,12,17,22
BRAVO THREE,3,#808080,12,7,3
COUNT DOOKU,33,#808080,12,10,11
CAPTAIN TYPHO,12,#808080,17,13,7
SENATOR ASK AAK,3,#808080,7,13,2
ORN FREE TAA,4,#808080,10,13,4
RUWEE,4,#808080,17,7,3
JOBAL,3,#808080,17,10,10
SOLA,3,#808080,12,4,19
TAUN WE,10,#808080,12,1,20
LAMA SU,8,#808080,12,14,14
JANGO FETT,16,#808080,4,13,6
BOBA FETT,23,#808080,1,13,4
SNAP,14,#808080,14,13,6
BERU,13,#808080,4,17,50
OWEN,17,#808080,4,10,9
CLIEGG,5,#808080,17,1,38
POGGLE,5,#808080,14,17,38
SUN RIT,3,#808080,1,10,8
PLO KOON,7,#808080,14,10,6
GENERAL GRIEVOUS,35,#808080,11,4,49
RED LEADER,51,#808080,11,17,19
ODD BALL,4,#808080,11,1,7
MON MOTHMA,4,#808080,11,14,16
FANG ZAR,4,#808080,12,18,6
GIDDEAN DANU,3,#808080,18,13,1
CLONE COMMANDER GREE,4,#808080,4,18,6
CLONE COMMANDER CODY,4,#808080,17,18,2
TION MEDON,3,#808080,1,18,6
DARTH VADER,147,#000000,14,18,2
CHEWBACCA,197,#A0522D,10,18,1
CAPTAIN ANTILLES,4,#808080,12,19,7
LUKE,338,#3881e5,4,19,60
LEIA,182,#DCDCDC,17,19,54
TARKIN,17,#808080,1,19,27
YOUNG GIRL,4,#808080,19,10,4
BIGGS,34,#808080,14,19,27
CAMIE,3,#808080,20,19,63
MOTTI,3,#808080,19,21,7
HAN,231,#ff9400,20,17,97
WEDGE,43,#808080,20,1,42
GOLD LEADER,25,#808080,20,14,29
DODONNA,10,#808080,20,21,13
RED TEN,12,#808080,17,21,9
GOLD FIVE,12,#808080,1,21,14
RIEEKAN,8,#808080,14,21,8
DERLIN,3,#808080,19,22,5
